sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e03770-A-mifish	e03770-A-mifish	1	e03770-A-mifish_S1_L001_R1_001.fastq.gz	e03770-A-mifish_S1_L001_R2_001.fastq.gz	712	712	671	671	670	670	642	641	641
e03770-B-mifish	e03770-B-mifish	1	e03770-B-mifish_S97_L001_R1_001.fastq.gz	e03770-B-mifish_S97_L001_R2_001.fastq.gz	5104	5104	4808	4808	4779	4779	4467	4411	4411
e03770-C-mifish	e03770-C-mifish	1	e03770-C-mifish_S193_L001_R1_001.fastq.gz	e03770-C-mifish_S193_L001_R2_001.fastq.gz	6231	6231	5706	5706	5685	5685	5283	5156	5156
e03771-A-mifish	e03771-A-mifish	1	e03771-A-mifish_S2_L001_R1_001.fastq.gz	e03771-A-mifish_S2_L001_R2_001.fastq.gz	7085	7085	6750	6750	6681	6681	6248	5732	5732
e03771-B-mifish	e03771-B-mifish	1	e03771-B-mifish_S98_L001_R1_001.fastq.gz	e03771-B-mifish_S98_L001_R2_001.fastq.gz	5187	5187	4932	4932	4909	4909	4642	4569	4569
e03771-C-mifish	e03771-C-mifish	1	e03771-C-mifish_S194_L001_R1_001.fastq.gz	e03771-C-mifish_S194_L001_R2_001.fastq.gz	5767	5767	5323	5323	5310	5310	5130	5032	5032
e03772-A-mifish	e03772-A-mifish	1	e03772-A-mifish_S3_L001_R1_001.fastq.gz	e03772-A-mifish_S3_L001_R2_001.fastq.gz	9	9	2	2	1	1	0	0	0
e03772-B-mifish	e03772-B-mifish	1	e03772-B-mifish_S99_L001_R1_001.fastq.gz	e03772-B-mifish_S99_L001_R2_001.fastq.gz	1332	1332	1239	1239	1209	1209	682	682	682
e03772-C-mifish	e03772-C-mifish	1	e03772-C-mifish_S195_L001_R1_001.fastq.gz	e03772-C-mifish_S195_L001_R2_001.fastq.gz	20	20	9	9	2	2	0	0	0
e03773-A-mifish	e03773-A-mifish	1	e03773-A-mifish_S4_L001_R1_001.fastq.gz	e03773-A-mifish_S4_L001_R2_001.fastq.gz	12483	12483	11862	11862	11835	11835	11345	11136	11136
e03773-B-mifish	e03773-B-mifish	1	e03773-B-mifish_S100_L001_R1_001.fastq.gz	e03773-B-mifish_S100_L001_R2_001.fastq.gz	5847	5847	5581	5581	5556	5556	5110	5066	5066
e03773-C-mifish	e03773-C-mifish	1	e03773-C-mifish_S196_L001_R1_001.fastq.gz	e03773-C-mifish_S196_L001_R2_001.fastq.gz	7694	7694	7182	7182	6910	6910	6538	6465	6465
e03774-A-mifish	e03774-A-mifish	1	e03774-A-mifish_S5_L001_R1_001.fastq.gz	e03774-A-mifish_S5_L001_R2_001.fastq.gz	5	5	4	4	3	3	0	0	0
e03774-B-mifish	e03774-B-mifish	1	e03774-B-mifish_S101_L001_R1_001.fastq.gz	e03774-B-mifish_S101_L001_R2_001.fastq.gz	12	12	2	2	2	2	2	2	2
e03774-C-mifish	e03774-C-mifish	1	e03774-C-mifish_S197_L001_R1_001.fastq.gz	e03774-C-mifish_S197_L001_R2_001.fastq.gz	6605	6605	6144	6144	5541	5541	5528	5528	5528
e03775-A-mifish	e03775-A-mifish	1	e03775-A-mifish_S6_L001_R1_001.fastq.gz	e03775-A-mifish_S6_L001_R2_001.fastq.gz	11758	11758	11201	11201	11180	11180	10912	10851	10851
e03775-B-mifish	e03775-B-mifish	1	e03775-B-mifish_S102_L001_R1_001.fastq.gz	e03775-B-mifish_S102_L001_R2_001.fastq.gz	7264	7264	6902	6902	6890	6890	6687	6573	6573
