sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
ABLG11527-A-rkfish	ABLG11527-A-rkfish	1	ABLG11527-A-rkfish_S378_L001_R1_001.fastq.gz	ABLG11527-A-rkfish_S378_L001_R2_001.fastq.gz	59751	59751	58481	58481	58413	58413	50283	50240	50240
ABLG11527-B-rkfish	ABLG11527-B-rkfish	1	ABLG11527-B-rkfish_S474_L001_R1_001.fastq.gz	ABLG11527-B-rkfish_S474_L001_R2_001.fastq.gz	48101	48101	46958	46958	46885	46885	40986	40972	40972
ABLG11527-C-rkfish	ABLG11527-C-rkfish	1	ABLG11527-C-rkfish_S570_L001_R1_001.fastq.gz	ABLG11527-C-rkfish_S570_L001_R2_001.fastq.gz	64200	64200	62580	62580	62489	62489	51670	51619	51619
e03770-A-rkfish	e03770-A-rkfish	1	e03770-A-rkfish_S289_L001_R1_001.fastq.gz	e03770-A-rkfish_S289_L001_R2_001.fastq.gz	76474	76474	74836	74836	74738	74738	65358	65348	65348
e03770-B-rkfish	e03770-B-rkfish	1	e03770-B-rkfish_S385_L001_R1_001.fastq.gz	e03770-B-rkfish_S385_L001_R2_001.fastq.gz	7526	7526	7244	7244	6511	6511	631	620	620
e03770-C-rkfish	e03770-C-rkfish	1	e03770-C-rkfish_S481_L001_R1_001.fastq.gz	e03770-C-rkfish_S481_L001_R2_001.fastq.gz	7619	7619	7384	7384	6482	6482	285	285	285
e03771-A-rkfish	e03771-A-rkfish	1	e03771-A-rkfish_S290_L001_R1_001.fastq.gz	e03771-A-rkfish_S290_L001_R2_001.fastq.gz	7812	7812	7600	7600	6506	6506	510	510	510
e03771-B-rkfish	e03771-B-rkfish	1	e03771-B-rkfish_S386_L001_R1_001.fastq.gz	e03771-B-rkfish_S386_L001_R2_001.fastq.gz	13216	13216	12825	12825	11635	11635	7205	7164	7164
e03771-C-rkfish	e03771-C-rkfish	1	e03771-C-rkfish_S482_L001_R1_001.fastq.gz	e03771-C-rkfish_S482_L001_R2_001.fastq.gz	71329	71329	69626	69626	69510	69510	60685	60567	60567
e03772-A-rkfish	e03772-A-rkfish	1	e03772-A-rkfish_S291_L001_R1_001.fastq.gz	e03772-A-rkfish_S291_L001_R2_001.fastq.gz	11980	11980	11686	11686	7477	7477	603	603	603
