"","qseqid","taxon"
"1","ASV_0001","Sebastes alutus"
"2","ASV_0002","Sebastes alutus"
"3","ASV_0003","Sebastes alutus"
"4","ASV_0004","Sebastes carnatus"
"5","ASV_0005","Sebastes aleutianus"
"6","ASV_0006","Sebastes brevispinis"
"7","ASV_0007","Sebastes borealis"
"8","ASV_0009","Sebastes pinniger"
"9","ASV_0011","Sebastes zacentrus"
"10","ASV_0012","Sebastes ruberrimus"
"11","ASV_0013","Sebastes zacentrus"
"12","ASV_0014","Sebastes maliger"
"13","ASV_0015","Sebastes maliger"
"14","ASV_0016","Sebastes entomelas"
"15","ASV_0017","Sebastes alutus"
"16","ASV_0018","Sebastes ciliatus_variabilis"
"17","ASV_0019","Sebastes proriger"
"18","ASV_0020","Sebastes alutus"
"19","ASV_0021","Sebastes variegatus"
"20","ASV_0022","Sebastes melanops"
"21","ASV_0024","Sebastes ruberrimus"
"22","ASV_0025","Sebastes flavidus"
"23","ASV_0026","Sebastolobus alascanus"
"24","ASV_0027","Sebastes brevispinis"
"25","ASV_0029","Sebastes variegatus"
"26","ASV_0030","Sebastes borealis"
"27","ASV_0032","Sebastes zacentrus"
"28","ASV_0033","Sebastes zacentrus"
"29","ASV_0034","Sebastes zacentrus"
"30","ASV_0036","Sebastes nigrocinctus"
"31","ASV_0038","Sebastes alutus"
"32","ASV_0041","Sebastes alutus"
"33","ASV_0042","Sebastes ciliatus_variabilis"
"34","ASV_0043","Sebastes flavidus"
"35","ASV_0044","Sebastes aleutianus"
"36","ASV_0045","Sebastes maliger"
"37","ASV_0046","Sebastes alutus"
"38","ASV_0047","Sebastes polyspinis"
"39","ASV_0048","Sebastes ruberrimus"
"40","ASV_0050","Sebastes alutus"
"41","ASV_0054","Sebastes pinniger"
"42","ASV_0055","Sebastes pinniger"
"43","ASV_0056","Sebastes melanostictus"
"44","ASV_0057","Sebastes alutus"
"45","ASV_0059","Sebastes zacentrus"
"46","ASV_0060","Sebastes elongatus"
"47","ASV_0061","Sebastes babcocki"
"48","ASV_0062","Sebastes brevispinis"
"49","ASV_0063","Sebastes ruberrimus"
"50","ASV_0065","Sebastes alutus"
"51","ASV_0066","Sebastes helvomaculatus"
"52","ASV_0067","Sebastes aleutianus"
"53","ASV_0068","Sebastes ruberrimus"
"54","ASV_0069","Sebastes alutus"
"55","ASV_0070","Sebastolobus alascanus"
"56","ASV_0072","Sebastes zacentrus"
"57","ASV_0073","Sebastes brevispinis"
"58","ASV_0074","Sebastes brevispinis"
"59","ASV_0075","Sebastes brevispinis"
"60","ASV_0078","Sebastes aleutianus"
"61","ASV_0079","Sebastes zacentrus"
"62","ASV_0081","Sebastes proriger"
"63","ASV_0083","Sebastolobus alascanus"
"64","ASV_0084","Sebastes ruberrimus"
"65","ASV_0085","Sebastes alutus"
"66","ASV_0086","Sebastes alutus"
"67","ASV_0089","Sebastes brevispinis"
"68","ASV_0091","Sebastes alutus"
"69","ASV_0092","Sebastes alutus"
"70","ASV_0093","Sebastes alutus"
"71","ASV_0094","Sebastes carnatus"
"72","ASV_0095","Sebastes alutus"
"73","ASV_0096","Sebastes borealis"
"74","ASV_0097","Sebastes maliger"
"75","ASV_0099","Sebastes zacentrus"
"76","ASV_0100","Sebastes alutus"
"77","ASV_0101","Sebastes aleutianus"
"78","ASV_0102","Sebastes alutus"
"79","ASV_0103","Sebastes alutus"
"80","ASV_0104","Sebastes alutus"
"81","ASV_0105","Sebastes alutus"
"82","ASV_0106","Sebastes alutus"
"83","ASV_0107","Sebastes carnatus"
"84","ASV_0108","Sebastes zacentrus"
"85","ASV_0109","Sebastes alutus"
"86","ASV_0111","Sebastes alutus"
"87","ASV_0112","Sebastes maliger"
"88","ASV_0113","Sebastes ciliatus_variabilis"
"89","ASV_0114","Sebastes alutus"
"90","ASV_0115","Sebastes alutus"
"91","ASV_0116","Sebastes flavidus"
"92","ASV_0117","Sebastes carnatus"
"93","ASV_0118","Sebastes alutus"
"94","ASV_0119","Sebastes maliger"
"95","ASV_0120","Sebastes carnatus"
"96","ASV_0121","Sebastes maliger"
"97","ASV_0122","Sebastes zacentrus"
"98","ASV_0123","Sebastes proriger"
"99","ASV_0124","Sebastes alutus"
"100","ASV_0125","Sebastes alutus"
"101","ASV_0126","Sebastes alutus"
