"","sample_ID","total_seb"
"1","NTC1_A_mifish",0
"2","NTC1_B_mifish",0
"3","NTC1_C_mifish",1
"4","NTC2_A_mifish",3
"5","NTC2_B_mifish",7
"6","NTC2_C_mifish",6
"7","NTC3_A_mifish",1
"8","NTC3_B_mifish",0
"9","NTC3_C_mifish",0
"10","NTC4_A_mifish",0
"11","NTC4_B_mifish",0
"12","NTC4_C_mifish",1
"13","NTC5_A_mifish",0
"14","NTC5_B_mifish",0
"15","NTC5_C_mifish",0
"16","NTC6_A_mifish",0
"17","NTC6_B_mifish",0
"18","NTC6_C_mifish",0
"19","NTC7_A_mifish",0
"20","NTC7_B_mifish",0
"21","NTC7_C_mifish",0
"22","e03770_A_mifish",125
"23","e03770_B_mifish",216
"24","e03770_C_mifish",849
"25","e03771_A_mifish",989
"26","e03771_B_mifish",1290
"27","e03771_C_mifish",1058
"28","e03772_A_mifish",0
"29","e03772_B_mifish",0
"30","e03772_C_mifish",0
"31","e03773_A_mifish",3362
"32","e03773_B_mifish",1172
"33","e03773_C_mifish",1704
"34","e03774_A_mifish",0
"35","e03774_B_mifish",2
"36","e03774_C_mifish",1
"37","e03775_A_mifish",63
"38","e03775_B_mifish",2639
"39","e03775_C_mifish",1436
"40","e03776_A_mifish",0
"41","e03776_B_mifish",0
"42","e03776_C_mifish",2389
"43","e03777_A_mifish",1
"44","e03777_B_mifish",0
"45","e03777_C_mifish",1304
"46","e03778_A_mifish",1434
"47","e03778_B_mifish",593
"48","e03778_C_mifish",211
"49","e03779_A_mifish",9625
"50","e03779_B_mifish",0
"51","e03779_C_mifish",1
"52","e03780_A_mifish",2483
"53","e03780_B_mifish",2536
"54","e03780_C_mifish",1677
"55","e03781_A_mifish",2850
"56","e03781_B_mifish",1
"57","e03781_C_mifish",0
"58","e03782_A_mifish",3723
"59","e03782_B_mifish",4976
"60","e03782_C_mifish",2
"61","e03783_A_mifish",4407
"62","e03783_B_mifish",1921
"63","e03783_C_mifish",3971
"64","e03784_A_mifish",3
"65","e03784_B_mifish",0
"66","e03784_C_mifish",0
"67","e03785_A_mifish",1658
"68","e03785_B_mifish",0
"69","e03785_C_mifish",0
"70","e03786_A_mifish",0
"71","e03786_B_mifish",1025
"72","e03786_C_mifish",0
"73","e03787_A_mifish",332
"74","e03787_B_mifish",1044
"75","e03787_C_mifish",1
"76","e03788_A_mifish",0
"77","e03788_B_mifish",0
"78","e03788_C_mifish",1564
"79","e03789_A_mifish",0
"80","e03789_B_mifish",0
"81","e03789_C_mifish",0
"82","e03790_A_mifish",292
"83","e03790_B_mifish",549
"84","e03790_C_mifish",1
"85","e03791_A_mifish",3959
"86","e03791_B_mifish",2234
"87","e03791_C_mifish",0
"88","e03792_A_mifish",0
"89","e03792_B_mifish",0
"90","e03792_C_mifish",0
"91","e03793_A_mifish",0
"92","e03793_B_mifish",0
"93","e03793_C_mifish",0
"94","e03794_A_mifish",0
"95","e03794_B_mifish",0
"96","e03794_C_mifish",2
"97","e03795_A_mifish",0
"98","e03795_B_mifish",245
"99","e03795_C_mifish",0
"100","e03796_A_mifish",2
"101","e03796_B_mifish",3467
"102","e03796_C_mifish",0
"103","e03797_A_mifish",0
"104","e03797_B_mifish",0
"105","e03797_C_mifish",0
"106","e03798_A_mifish",0
"107","e03798_B_mifish",0
"108","e03798_C_mifish",0
"109","e03799_A_mifish",2
"110","e03799_B_mifish",0
"111","e03799_C_mifish",0
"112","e03800_A_mifish",1
"113","e03800_B_mifish",0
"114","e03800_C_mifish",1
"115","e03801_A_mifish",2858
"116","e03801_B_mifish",0
"117","e03801_C_mifish",215
"118","e03802_A_mifish",2392
"119","e03802_B_mifish",6145
"120","e03802_C_mifish",2253
"121","e03803_A_mifish",4
"122","e03803_B_mifish",3
"123","e03803_C_mifish",1546
"124","e03804_A_mifish",0
"125","e03804_B_mifish",0
"126","e03804_C_mifish",917
"127","e03805_A_mifish",0
"128","e03805_B_mifish",0
"129","e03805_C_mifish",0
"130","e03806_A_mifish",9108
"131","e03806_B_mifish",4
"132","e03806_C_mifish",1898
"133","e03807_A_mifish",1206
"134","e03807_B_mifish",0
"135","e03807_C_mifish",4019
"136","e03808_A_mifish",240
"137","e03808_B_mifish",2
"138","e03808_C_mifish",5455
"139","e03809_A_mifish",3
"140","e03809_B_mifish",3596
"141","e03809_C_mifish",23
"142","e03810_A_mifish",0
"143","e03810_B_mifish",0
"144","e03810_C_mifish",0
"145","e03811_A_mifish",10748
"146","e03811_B_mifish",5120
"147","e03811_C_mifish",5305
"148","e03812_A_mifish",13315
"149","e03812_B_mifish",7487
"150","e03812_C_mifish",9131
"151","e03813_A_mifish",9390
"152","e03813_B_mifish",2670
"153","e03813_C_mifish",7056
"154","e03814_A_mifish",407
"155","e03814_B_mifish",483
"156","e03814_C_mifish",599
"157","e03815_A_mifish",0
"158","e03815_B_mifish",0
"159","e03815_C_mifish",0
"160","e03816_A_mifish",3678
"161","e03816_B_mifish",0
"162","e03816_C_mifish",0
"163","e03817_A_mifish",0
"164","e03817_B_mifish",0
"165","e03817_C_mifish",0
"166","e03818_A_mifish",3
"167","e03818_B_mifish",4769
"168","e03818_C_mifish",2570
"169","e03819_A_mifish",6027
"170","e03819_B_mifish",2894
"171","e03819_C_mifish",3636
"172","e03820_A_mifish",6400
"173","e03820_B_mifish",4164
"174","e03820_C_mifish",6837
"175","e03821_A_mifish",0
"176","e03821_B_mifish",0
"177","e03821_C_mifish",0
"178","e03822_A_mifish",12
"179","e03822_B_mifish",6
"180","e03822_C_mifish",9
"181","e03823_A_mifish",2
"182","e03823_B_mifish",0
"183","e03823_C_mifish",0
"184","e03824_A_mifish",7582
"185","e03824_B_mifish",4108
"186","e03824_C_mifish",7861
"187","e03825_A_mifish",0
"188","e03825_B_mifish",519
"189","e03825_C_mifish",3310
"190","e03826_A_mifish",0
"191","e03826_B_mifish",0
"192","e03826_C_mifish",0
"193","e03827_A_mifish",3929
"194","e03827_B_mifish",1331
"195","e03827_C_mifish",1321
"196","e03828_A_mifish",0
"197","e03828_B_mifish",1468
"198","e03828_C_mifish",0
"199","e03829_A_mifish",0
"200","e03829_B_mifish",7
"201","e03829_C_mifish",2166
"202","e03830_A_mifish",1741
"203","e03830_B_mifish",0
"204","e03830_C_mifish",3
"205","e03831_A_mifish",2
"206","e03831_B_mifish",2
"207","e03831_C_mifish",1
"208","e03832_A_mifish",0
"209","e03832_B_mifish",0
"210","e03832_C_mifish",0
"211","e03833_A_mifish",4
"212","e03833_B_mifish",467
"213","e03833_C_mifish",2076
"214","e03834_A_mifish",0
"215","e03834_B_mifish",1653
"216","e03834_C_mifish",3147
"217","e03835_A_mifish",4696
"218","e03835_B_mifish",3530
"219","e03835_C_mifish",6
"220","e03836_A_mifish",354
"221","e03836_B_mifish",1934
"222","e03836_C_mifish",1953
"223","e03837_A_mifish",3
"224","e03837_B_mifish",1231
"225","e03837_C_mifish",739
"226","e03838_A_mifish",980
"227","e03838_B_mifish",0
"228","e03838_C_mifish",1597
"229","e03839_A_mifish",1534
"230","e03839_B_mifish",69
"231","e03839_C_mifish",0
"232","e03840_A_mifish",95
"233","e03840_B_mifish",2262
"234","e03840_C_mifish",2782
"235","e03841_A_mifish",0
"236","e03841_B_mifish",0
"237","e03841_C_mifish",2
"238","e03842_A_mifish",0
"239","e03842_B_mifish",0
"240","e03842_C_mifish",0
"241","e03843_A_mifish",0
"242","e03843_B_mifish",0
"243","e03843_C_mifish",0
"244","e03844_A_mifish",5
"245","e03844_B_mifish",923
"246","e03844_C_mifish",0
"247","e03845_A_mifish",0
"248","e03845_B_mifish",0
"249","e03845_C_mifish",4190
"250","e03846_A_mifish",9
"251","e03846_B_mifish",4839
"252","e03846_C_mifish",0
"253","e03847_A_mifish",12
"254","e03847_B_mifish",3
"255","e03847_C_mifish",0
"256","e03848_A_mifish",0
"257","e03848_B_mifish",0
"258","e03848_C_mifish",1
"259","e03849_A_mifish",0
"260","e03849_B_mifish",4345
"261","e03849_C_mifish",0
"262","e03850_A_mifish",3882
"263","e03850_B_mifish",2525
"264","e03850_C_mifish",0
"265","e03851_A_mifish",1
"266","e03851_B_mifish",1666
"267","e03851_C_mifish",0
"268","e03852_A_mifish",0
"269","e03852_B_mifish",1
"270","e03852_C_mifish",3
"271","e03853_A_mifish",0
"272","e03853_B_mifish",0
"273","e03853_C_mifish",0
"274","e03854_A_mifish",4
"275","e03854_B_mifish",4064
"276","e03854_C_mifish",0
"277","e03855_A_mifish",0
"278","e03855_B_mifish",0
"279","e03855_C_mifish",6382
"280","e03856_A_mifish",7773
"281","e03856_B_mifish",3012
"282","e03856_C_mifish",0
"283","e03857_A_mifish",1
"284","e03857_B_mifish",8
"285","e03857_C_mifish",36
"286","e03858_A_mifish",0
"287","e03858_B_mifish",0
"288","e03858_C_mifish",2
