"","qseqid","species","seq_percID","top_perc","diff","taxonomic_level","taxon"
"1","ASV_0001","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"2","ASV_0002","Sebastes alutus",100,100,0,"species","Sebastes alutus"
"3","ASV_0003","Sebastes alutus",100,100,0,"species","Sebastes alutus"
"4","ASV_0004","Sebastes carnatus",96.97,96.97,0,"species","Sebastes carnatus"
"5","ASV_0005","Sebastes aleutianus",100,100,0,"species","Sebastes aleutianus"
"6","ASV_0006","Sebastes brevispinis",100,100,0,"species","Sebastes brevispinis"
"7","ASV_0007","Sebastes borealis",100,100,0,"species","Sebastes borealis"
"8","ASV_0009","Sebastes pinniger",99.394,99.394,0,"species","Sebastes pinniger"
"9","ASV_0011","Sebastes zacentrus",98.788,98.788,0,"species","Sebastes zacentrus"
"10","ASV_0012","Sebastes ruberrimus",100,100,0,"species","Sebastes ruberrimus"
"11","ASV_0013","Sebastes zacentrus",98.788,98.788,0,"species","Sebastes zacentrus"
"12","ASV_0014","Sebastes maliger",100,100,0,"species","Sebastes maliger"
"13","ASV_0015","Sebastes maliger",100,100,0,"species","Sebastes maliger"
"14","ASV_0016","Sebastes entomelas",100,100,0,"species","Sebastes entomelas"
"15","ASV_0017","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"16","ASV_0018","Sebastes ciliatus_variabilis",100,100,0,"species","Sebastes ciliatus_variabilis"
"17","ASV_0019","Sebastes proriger",99.398,99.398,0,"species","Sebastes proriger"
"18","ASV_0020","Sebastes alutus",100,100,0,"species","Sebastes alutus"
"19","ASV_0021","Sebastes variegatus",100,100,0,"species","Sebastes variegatus"
"20","ASV_0022","Sebastes melanops",100,100,0,"species","Sebastes melanops"
"21","ASV_0024","Sebastes ruberrimus",97.619,97.619,0,"species","Sebastes ruberrimus"
"22","ASV_0025","Sebastes flavidus",98.788,98.788,0,"species","Sebastes flavidus"
"23","ASV_0026","Sebastolobus alascanus",98.78,98.78,0,"species","Sebastolobus alascanus"
"24","ASV_0027","Sebastes brevispinis",99.394,99.394,0,"species","Sebastes brevispinis"
"25","ASV_0029","Sebastes variegatus",99.394,99.394,0,"species","Sebastes variegatus"
"26","ASV_0030","Sebastes borealis",99.39,99.39,0,"species","Sebastes borealis"
"27","ASV_0032","Sebastes zacentrus",98.182,98.182,0,"species","Sebastes zacentrus"
"28","ASV_0033","Sebastes zacentrus",98.182,98.182,0,"species","Sebastes zacentrus"
"29","ASV_0034","Sebastes zacentrus",98.182,98.182,0,"species","Sebastes zacentrus"
"30","ASV_0036","Sebastes nigrocinctus",98.204,98.204,0,"species","Sebastes nigrocinctus"
"31","ASV_0038","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"32","ASV_0041","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"33","ASV_0042","Sebastes ciliatus_variabilis",99.387,99.387,0,"species","Sebastes ciliatus_variabilis"
"34","ASV_0043","Sebastes flavidus",98.182,98.182,0,"species","Sebastes flavidus"
"35","ASV_0044","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"36","ASV_0045","Sebastes maliger",99.394,99.394,0,"species","Sebastes maliger"
"37","ASV_0046","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"38","ASV_0047","Sebastes polyspinis",100,100,0,"species","Sebastes polyspinis"
"39","ASV_0048","Sebastes ruberrimus",97.024,97.024,0,"species","Sebastes ruberrimus"
"40","ASV_0050","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"41","ASV_0054","Sebastes pinniger",98.788,98.788,0,"species","Sebastes pinniger"
"42","ASV_0055","Sebastes pinniger",100,100,0,"species","Sebastes pinniger"
